cluster,,能源类型
0,新能源,1158 (99.3%)
0,燃油车,8 (0.7%)
1,新能源,408 (17.3%)
1,燃油车,1944 (82.7%)
2,新能源,26 (0.2%)
2,燃油车,10956 (99.8%)
3,新能源,4 (0.1%)
3,燃油车,2960 (99.9%)
4,新能源,5 (0.2%)
4,燃油车,2355 (99.8%)
5,新能源,1 (0.1%)
5,燃油车,714 (99.9%)
6,新能源,6 (1.1%)
6,燃油车,542 (98.9%)
7,新能源,1339 (99.6%)
7,燃油车,6 (0.4%)
8,新能源,172 (72.6%)
8,燃油车,65 (27.4%)
9,新能源,5724 (99.8%)
9,燃油车,14 (0.2%)
10,新能源,6 (0.8%)
10,燃油车,732 (99.2%)
11,新能源,800 (99.6%)
11,燃油车,3 (0.4%)
12,新能源,7 (0.5%)
12,燃油车,1423 (99.5%)
13,新能源,26 (1.7%)
13,燃油车,1541 (98.3%)
